date,home_team,away_team,home_score,away_score,result
2025-04-18,00 833 Χορν Μπργκενζ 2.15 3.50 2.85,3 - 2 1,3,1,home
2025-04-18,00 834 Λφσκι Κρομοβγκραντ ΤΣΣΚΑ Σφιας 8.25 4.50 1.28,1 - 0 1,0,0,draw
2025-04-18,00 1610 Φολαντ Σαμς Αζρ Καζβν 1.64 3.25 5.15,1 - 0 1,1,0,home
2025-04-18,00 1637 Χρτζου JK Λγκρι Ταμκα Τρτου 2.52 3.20 2.35,4 - 1 1,0,1,away
2025-04-18,00 1643 Μπρινταμπλικ Φιολνρ 1.14 7.00 9.50,5 - 0 1,1,0,home
2025-04-18,05 835 Αλ Κχολοντ Νταμκ 1.95 3.40 3.30,1 - 3 2,0,2,away
2025-04-18,20 836 Αλ Αχλ Τζντα Αλ Φιχα 1.25 5.00 8.35,5 - 0 1,3,0,home
2025-04-18,30 - ΦΚ Μινσκ Γκμελ,1 - 0 1,1,0,home
2025-04-18,30 - Ναφτ Αλ Τζανομπ Αλ Κασμ,2 - 2 X,0,1,away
2025-04-18,30 837 Σφιλντ Γιουνιτεντ Κρντιφ 1.55 4.00 5.50,2 - 0 1,1,0,home
2025-04-18,30 838 Μπαρντ στλιχ 1.31 4.85 7.50,1 - 1 X,1,1,draw
